"Reference";"Qty";"Part Number";"Value";"DNP";"Exclude from BOM";"Exclude from Board";"Footprint";"Manufacturer"
"U2";"1";"W25Q128JVSIQ";"W25Q128JVS";"";"";"";"robot:SOIC-8_5.23x5.23mm_P1.27mm";"Winbond"
"U3";"1";"SC0914(13)";"RP2040";"";"";"";"robot:RP2040-QFN-56";"Raspberry Pi"
"U4";"1";"NCP3901FCCT1G";"NCP3901";"";"";"";"robot:NCP3901";"onsemi"
"U5";"1";"LSF0102DCTR";"LSF0102DCTR";"";"";"";"robot:SOP65P400X130-8N";"Texas Instruments"
"U6";"1";"MAX77857BEWB+";"MAX77857BEWB+";"";"";"";"robot:WLP-35_7x5_2.828x2.028mm";"Maxim"
"U7";"1";"AP2502KTR-G1";"AP2502KTR-G1";"";"";"";"robot:SOT95P280X145-6N";"Diodes Inc."
"U8,U9";"2";"DRV8830DRCR";"DRV8830DRCR";"";"";"";"robot:IC_DRV8830DRCR";"Texas Instruments"
"U12";"1";"BQ27742YZFR-G1";"BQ27742YZFR-G1";"";"";"";"robot:Texas_Instruments-YZF0015-0-0-MFG";"Texas Instruments"
"U13";"1";"MAX77976EFD+";"MAX77976EFD+";"";"";"";"robot:MAX77976";"Maxim"
"U14";"1";"MAX77642ANA+";"MAX77642ANA+";"";"";"";"robot:Maxim-N252B2-1-0-A-MFG";"Maxim"
"U18";"1";"AP33771DKZ-13";"AP33771DKZ-13";"";"";"";"robot:AP33771DKZ13";"Diodes Inc."
"U25";"1";"TVS0500DRVR";"TVS0500DRV";"";"";"";"robot:TVS0500DRVR";"Texas Instruments"
"U26,U27,U28,U29";"4";"TPD1E05U06DPYR";"TPD1E05U06";"";"";"";"robot:TPD1E05U06DPYR";"Texas Instruments"
"W1,W2";"2";"4939";"~";"DNP";"";"Excluded from board";"";"Pololu"
"Y1";"1";"ECS-120-8-36-CKM-TR3";"ECS-120-8-36-CKM-TR3";"";"";"";"robot:XTAL_ECS-120-8-36-CKM-TR3";"ECS Inc."
